execution_id,trader_id,symbol,side,quantity,price,timestamp,commission,slippage,order_id,notes
MQL5_2265877_220101_OPEN,MQL5_2265877,EURUSD,BUY,0.2,1.0852,2026-01-12T09:00:00+00:00,0.6,0.0,220101,"{""source"": ""MQL5_SIGNALS"", ""stage"": ""OPEN"", ""ticket"": ""220101"", ""signal_id"": ""2265877""}"
MQL5_2265877_220101_CLOSE,MQL5_2265877,EURUSD,SELL,0.2,1.0888,2026-01-12T17:00:00+00:00,0.6,0.0,220101,"{""source"": ""MQL5_SIGNALS"", ""stage"": ""CLOSE"", ""ticket"": ""220101"", ""signal_id"": ""2265877"", ""original_profit"": 72.0, ""original_swap"": 0.0}"
MQL5_2265877_220102_OPEN,MQL5_2265877,EURUSD,BUY,0.25,1.0883,2026-01-19T10:30:00+00:00,0.75,0.0,220102,"{""source"": ""MQL5_SIGNALS"", ""stage"": ""OPEN"", ""ticket"": ""220102"", ""signal_id"": ""2265877""}"
MQL5_2265877_220102_CLOSE,MQL5_2265877,EURUSD,SELL,0.25,1.0918,2026-01-20T14:45:00+00:00,0.75,0.0,220102,"{""source"": ""MQL5_SIGNALS"", ""stage"": ""CLOSE"", ""ticket"": ""220102"", ""signal_id"": ""2265877"", ""original_profit"": 87.5, ""original_swap"": -0.5}"
MQL5_2265877_220103_OPEN,MQL5_2265877,EURUSD,BUY,0.2,1.0905,2026-01-26T08:45:00+00:00,0.6,0.0,220103,"{""source"": ""MQL5_SIGNALS"", ""stage"": ""OPEN"", ""ticket"": ""220103"", ""signal_id"": ""2265877""}"
MQL5_2265877_220103_CLOSE,MQL5_2265877,EURUSD,SELL,0.2,1.0945,2026-01-27T16:15:00+00:00,0.6,0.0,220103,"{""source"": ""MQL5_SIGNALS"", ""stage"": ""CLOSE"", ""ticket"": ""220103"", ""signal_id"": ""2265877"", ""original_profit"": 80.0, ""original_swap"": -0.4}"
MQL5_2265877_220104_OPEN,MQL5_2265877,EURUSD,BUY,0.2,1.0862,2026-02-09T09:15:00+00:00,0.6,0.0,220104,"{""source"": ""MQL5_SIGNALS"", ""stage"": ""OPEN"", ""ticket"": ""220104"", ""signal_id"": ""2265877""}"
MQL5_2265877_220104_CLOSE,MQL5_2265877,EURUSD,SELL,0.2,1.0908,2026-02-10T16:30:00+00:00,0.6,0.0,220104,"{""source"": ""MQL5_SIGNALS"", ""stage"": ""CLOSE"", ""ticket"": ""220104"", ""signal_id"": ""2265877"", ""original_profit"": 92.0, ""original_swap"": -0.35}"
MQL5_2265877_220105_OPEN,MQL5_2265877,EURUSD,BUY,0.3,1.088,2026-02-16T11:00:00+00:00,0.9,0.0,220105,"{""source"": ""MQL5_SIGNALS"", ""stage"": ""OPEN"", ""ticket"": ""220105"", ""signal_id"": ""2265877""}"
MQL5_2265877_220105_CLOSE,MQL5_2265877,EURUSD,SELL,0.3,1.0845,2026-02-17T18:20:00+00:00,0.9,0.0,220105,"{""source"": ""MQL5_SIGNALS"", ""stage"": ""CLOSE"", ""ticket"": ""220105"", ""signal_id"": ""2265877"", ""original_profit"": -105.0, ""original_swap"": -0.6}"
MQL5_2265877_220106_OPEN,MQL5_2265877,EURUSD,BUY,0.25,1.0892,2026-02-23T08:30:00+00:00,0.75,0.0,220106,"{""source"": ""MQL5_SIGNALS"", ""stage"": ""OPEN"", ""ticket"": ""220106"", ""signal_id"": ""2265877""}"
MQL5_2265877_220106_CLOSE,MQL5_2265877,EURUSD,SELL,0.25,1.0938,2026-02-24T15:45:00+00:00,0.75,0.0,220106,"{""source"": ""MQL5_SIGNALS"", ""stage"": ""CLOSE"", ""ticket"": ""220106"", ""signal_id"": ""2265877"", ""original_profit"": 115.0, ""original_swap"": -0.45}"
MQL5_2329290_1085201_OPEN,MQL5_2329290,EURUSD,BUY,0.1,1.085,2026-01-12T08:30:00+00:00,0.3,0.0,1085201,"{""source"": ""MQL5_SIGNALS"", ""stage"": ""OPEN"", ""ticket"": ""1085201"", ""signal_id"": ""2329290""}"
MQL5_2329290_1085201_CLOSE,MQL5_2329290,EURUSD,SELL,0.1,1.089,2026-01-12T16:45:00+00:00,0.3,0.0,1085201,"{""source"": ""MQL5_SIGNALS"", ""stage"": ""CLOSE"", ""ticket"": ""1085201"", ""signal_id"": ""2329290"", ""original_profit"": 40.0, ""original_swap"": 0.0}"
MQL5_2329290_1085202_OPEN,MQL5_2329290,GBPUSD,SELL,0.1,1.272,2026-01-14T09:15:00+00:00,0.3,0.0,1085202,"{""source"": ""MQL5_SIGNALS"", ""stage"": ""OPEN"", ""ticket"": ""1085202"", ""signal_id"": ""2329290""}"
MQL5_2329290_1085202_CLOSE,MQL5_2329290,GBPUSD,BUY,0.1,1.268,2026-01-14T17:30:00+00:00,0.3,0.0,1085202,"{""source"": ""MQL5_SIGNALS"", ""stage"": ""CLOSE"", ""ticket"": ""1085202"", ""signal_id"": ""2329290"", ""original_profit"": 40.0, ""original_swap"": 0.0}"
MQL5_2329290_1085203_OPEN,MQL5_2329290,EURUSD,BUY,0.15,1.088,2026-01-19T10:00:00+00:00,0.45,0.0,1085203,"{""source"": ""MQL5_SIGNALS"", ""stage"": ""OPEN"", ""ticket"": ""1085203"", ""signal_id"": ""2329290""}"
MQL5_2329290_1085203_CLOSE,MQL5_2329290,EURUSD,SELL,0.15,1.092,2026-01-20T14:20:00+00:00,0.45,0.0,1085203,"{""source"": ""MQL5_SIGNALS"", ""stage"": ""CLOSE"", ""ticket"": ""1085203"", ""signal_id"": ""2329290"", ""original_profit"": 60.0, ""original_swap"": -0.35}"
MQL5_2329290_1085204_OPEN,MQL5_2329290,GBPUSD,SELL,0.15,1.269,2026-01-22T11:00:00+00:00,0.45,0.0,1085204,"{""source"": ""MQL5_SIGNALS"", ""stage"": ""OPEN"", ""ticket"": ""1085204"", ""signal_id"": ""2329290""}"
MQL5_2329290_1085204_CLOSE,MQL5_2329290,GBPUSD,BUY,0.15,1.264,2026-01-23T15:10:00+00:00,0.45,0.0,1085204,"{""source"": ""MQL5_SIGNALS"", ""stage"": ""CLOSE"", ""ticket"": ""1085204"", ""signal_id"": ""2329290"", ""original_profit"": 75.0, ""original_swap"": -0.4}"
MQL5_2329290_1085205_OPEN,MQL5_2329290,EURUSD,BUY,0.1,1.091,2026-02-02T08:15:00+00:00,0.3,0.0,1085205,"{""source"": ""MQL5_SIGNALS"", ""stage"": ""OPEN"", ""ticket"": ""1085205"", ""signal_id"": ""2329290""}"
MQL5_2329290_1085205_CLOSE,MQL5_2329290,EURUSD,SELL,0.1,1.087,2026-02-03T18:00:00+00:00,0.3,0.0,1085205,"{""source"": ""MQL5_SIGNALS"", ""stage"": ""CLOSE"", ""ticket"": ""1085205"", ""signal_id"": ""2329290"", ""original_profit"": -40.0, ""original_swap"": -0.2}"
MQL5_2329290_1085206_OPEN,MQL5_2329290,EURUSD,BUY,0.12,1.086,2026-02-09T09:30:00+00:00,0.36,0.0,1085206,"{""source"": ""MQL5_SIGNALS"", ""stage"": ""OPEN"", ""ticket"": ""1085206"", ""signal_id"": ""2329290""}"
MQL5_2329290_1085206_CLOSE,MQL5_2329290,EURUSD,SELL,0.12,1.091,2026-02-10T16:00:00+00:00,0.36,0.0,1085206,"{""source"": ""MQL5_SIGNALS"", ""stage"": ""CLOSE"", ""ticket"": ""1085206"", ""signal_id"": ""2329290"", ""original_profit"": 60.0, ""original_swap"": -0.25}"
MQL5_2329290_1085207_OPEN,MQL5_2329290,GBPUSD,SELL,0.1,1.265,2026-02-16T10:45:00+00:00,0.3,0.0,1085207,"{""source"": ""MQL5_SIGNALS"", ""stage"": ""OPEN"", ""ticket"": ""1085207"", ""signal_id"": ""2329290""}"
