symbol,timestamp,price,source
EURUSD,2026-01-12T09:00:00+00:00,1.0852,MQL5_TICK_EXEC
EURUSD,2026-01-12T17:00:00+00:00,1.0888,MQL5_TICK_EXEC
EURUSD,2026-01-19T10:30:00+00:00,1.0883,MQL5_TICK_EXEC
EURUSD,2026-01-20T14:45:00+00:00,1.0918,MQL5_TICK_EXEC
EURUSD,2026-01-26T08:45:00+00:00,1.0905,MQL5_TICK_EXEC
EURUSD,2026-01-27T16:15:00+00:00,1.0945,MQL5_TICK_EXEC
EURUSD,2026-02-09T09:15:00+00:00,1.0862,MQL5_TICK_EXEC
EURUSD,2026-02-10T16:30:00+00:00,1.0908,MQL5_TICK_EXEC
EURUSD,2026-02-16T11:00:00+00:00,1.088,MQL5_TICK_EXEC
EURUSD,2026-02-17T18:20:00+00:00,1.0845,MQL5_TICK_EXEC
EURUSD,2026-02-23T08:30:00+00:00,1.0892,MQL5_TICK_EXEC
EURUSD,2026-02-24T15:45:00+00:00,1.0938,MQL5_TICK_EXEC
EURUSD,2026-01-12T08:30:00+00:00,1.085,MQL5_TICK_EXEC
EURUSD,2026-01-12T16:45:00+00:00,1.089,MQL5_TICK_EXEC
GBPUSD,2026-01-14T09:15:00+00:00,1.272,MQL5_TICK_EXEC
GBPUSD,2026-01-14T17:30:00+00:00,1.268,MQL5_TICK_EXEC
EURUSD,2026-01-19T10:00:00+00:00,1.088,MQL5_TICK_EXEC
EURUSD,2026-01-20T14:20:00+00:00,1.092,MQL5_TICK_EXEC
GBPUSD,2026-01-22T11:00:00+00:00,1.269,MQL5_TICK_EXEC
GBPUSD,2026-01-23T15:10:00+00:00,1.264,MQL5_TICK_EXEC
EURUSD,2026-02-02T08:15:00+00:00,1.091,MQL5_TICK_EXEC
EURUSD,2026-02-03T18:00:00+00:00,1.087,MQL5_TICK_EXEC
EURUSD,2026-02-09T09:30:00+00:00,1.086,MQL5_TICK_EXEC
EURUSD,2026-02-10T16:00:00+00:00,1.091,MQL5_TICK_EXEC
GBPUSD,2026-02-16T10:45:00+00:00,1.265,MQL5_TICK_EXEC
GBPUSD,2026-02-17T17:15:00+00:00,1.261,MQL5_TICK_EXEC
EURUSD,2026-02-23T08:00:00+00:00,1.089,MQL5_TICK_EXEC
EURUSD,2026-02-24T15:30:00+00:00,1.094,MQL5_TICK_EXEC
PETR4,2026-01-12T13:30:00+00:00,30.5,MQL5_TICK_EXEC
PETR4,2026-01-13T19:00:00+00:00,31.8,MQL5_TICK_EXEC
PETR4,2026-01-20T14:00:00+00:00,31.2,MQL5_TICK_EXEC
PETR4,2026-01-21T18:30:00+00:00,32.4,MQL5_TICK_EXEC
PETR4,2026-02-03T13:15:00+00:00,32.1,MQL5_TICK_EXEC
PETR4,2026-02-04T18:00:00+00:00,31.5,MQL5_TICK_EXEC
PETR4,2026-02-10T13:45:00+00:00,31.8,MQL5_TICK_EXEC
PETR4,2026-02-11T19:15:00+00:00,32.9,MQL5_TICK_EXEC
PETR4,2026-02-18T14:30:00+00:00,32.5,MQL5_TICK_EXEC
PETR4,2026-02-19T18:45:00+00:00,33.8,MQL5_TICK_EXEC
PETR4,2026-02-25T13:30:00+00:00,33.2,MQL5_TICK_EXEC
PETR4,2026-02-26T18:00:00+00:00,34.4,MQL5_TICK_EXEC
GBPUSD,2026-01-14T09:30:00+00:00,1.2722,MQL5_TICK_EXEC
GBPUSD,2026-01-14T17:15:00+00:00,1.2678,MQL5_TICK_EXEC
GBPUSD,2026-01-22T11:15:00+00:00,1.2692,MQL5_TICK_EXEC
GBPUSD,2026-01-23T15:00:00+00:00,1.2638,MQL5_TICK_EXEC
GBPUSD,2026-02-04T10:00:00+00:00,1.267,MQL5_TICK_EXEC
GBPUSD,2026-02-05T16:45:00+00:00,1.2625,MQL5_TICK_EXEC
GBPUSD,2026-02-16T11:00:00+00:00,1.2652,MQL5_TICK_EXEC
GBPUSD,2026-02-17T17:30:00+00:00,1.2608,MQL5_TICK_EXEC
GBPUSD,2026-02-24T09:00:00+00:00,1.263,MQL5_TICK_EXEC
GBPUSD,2026-02-25T15:30:00+00:00,1.2585,MQL5_TICK_EXEC
GBPUSD,2026-03-02T10:30:00+00:00,1.261,MQL5_TICK_EXEC
GBPUSD,2026-03-03T16:00:00+00:00,1.256,MQL5_TICK_EXEC
